	ENSG00000000003	ENSG00000000005	ENSG00000000419	ENSG00000000457	ENSG00000000460	ENSG00000000938	ENSG00000000971	ENSG00000001036	ENSG00000001084	ENSG00000001167	ENSG00000001460	ENSG00000001461	ENSG00000001497	ENSG00000001561	ENSG00000001617	ENSG00000001626	ENSG00000001629	ENSG00000001630	ENSG00000001631	ENSG00000002016	ENSG00000002079	ENSG00000002330	ENSG00000002549	ENSG00000002586	ENSG00000002587	ENSG00000002726	ENSG00000002745	ENSG00000002746	ENSG00000002822	ENSG00000002834	ENSG00000002919	ENSG00000002933	ENSG00000003056	ENSG00000003096	ENSG00000003137	ENSG00000003147	ENSG00000003249	ENSG00000003393	ENSG00000003400	ENSG00000003402	ENSG00000003436	ENSG00000003509	ENSG00000003756	ENSG00000003987	ENSG00000003989	ENSG00000004059	ENSG00000004139	ENSG00000004142	ENSG00000004399	ENSG00000004455	ENSG00000004468	ENSG00000004478	ENSG00000004487	ENSG00000004534	ENSG00000004660	ENSG00000004700	ENSG00000004766	ENSG00000004776	ENSG00000004777	ENSG00000004779	ENSG00000004799	ENSG00000004809	ENSG00000004838	ENSG00000004846	ENSG00000004848	ENSG00000004864	ENSG00000004866	ENSG00000004897	ENSG00000004939	ENSG00000004948	ENSG00000004961	ENSG00000004975	ENSG00000005001	ENSG00000005007	ENSG00000005020	ENSG00000005022	ENSG00000005059	ENSG00000005073	ENSG00000005075	ENSG00000005100	ENSG00000005102	ENSG00000005108	ENSG00000005156	ENSG00000005175	ENSG00000005187	ENSG00000005189	ENSG00000005194	ENSG00000005206	ENSG00000005238	ENSG00000005243	ENSG00000005249	ENSG00000005302	ENSG00000005339	ENSG00000005379	ENSG00000005381	ENSG00000005421	ENSG00000005436	ENSG00000005448	ENSG00000005469
DRR000897	491.9542	1	431	108.8910682	172.19862	0	814.84781	2335.96172	568.04689	572.586	79.62009	864.40418	2042.9986	1	4903.5413	1.97906	814.00011	4184.49686	255.393731	97.0001	2.000005	1518.3631	1132.240985	2896.0012	11.33009	60.0086	6	87.59404	1082.99933	7259.699613	279.9996	10.000003	2298.89618	857.26388	18.99995	91.42924069	212.82164	368.40419	62.060789	477.85302	2012.391209	148.95975	1510.65008	8.192249	1546.00079	2806.52357	106.5904617	1580.212	2223.00275	5922.7401	1.01367	4266.63016	2186.0028	498.1281107	931.6064	487.74961	270.1994727	11.04376	41.99995	1577.00442	1481.99582	0	21.65379	0	0	1230.9994	494.5554006	991.39134	0	0	628.0003	1411.00099	0	2700.0032	199.99525	10274.42	206.9999	25.74208	1094.609	1374.244703	46	4	562.20454	268.4624	3.44015	134.45096	1765.57985	788.01564	285.9999856	396.9999164	33.00004	281.3244494	2021.03897	36.9999811	0	0	135.45454	1092.33846	49.00002
DRR001173	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DRR001174	1779.27651	1	1585.0037	355.9468129	406.6224	3	7.756709	2890.87813	947.6033	1394.013	648.99473	2122.28125	1760.9993	769	2059.71716	5.88963	3650.99582	6363.42384	794.04971	309.00019	387.9998	655.1049	1823.6766	4445.00395	81.9029	2.05923	2	5.445293	486.99946	17217.79744	694.25498	0	5436.24305	426.6163186	273.00056	70.22128	452.72834	1962.04904	413.31707	1397.642099	3245.272129	661.7558801	3031.3846	58.4962	626.000503	2095.8428	489.4344	3565.33	1036.999441	7205.00615	40.3755	2880.13609	6975.999	1658.07959	182.13929	3839.79879	760.5851618	11.0489	44.999973	1450.00298	2	8	20.49269	5.6484	6	1372.000163	508.3966299	6250.4487	0	1	1135.001	1420.214836	1	2922.0042	2854.58195	19910.73	929.9306	1	309.1164	1253.6691	2	11	833.666051	1151.53678	24.497147	133.9999971	1788.73019	239.76875	709.00073	226.0000884	643	1106.04007	4700.04595	0	0	0	531.88	3035.14985	279.99986
DRR001175	0	0	0	1	0	0	0	77	0	4	0	0	0	0	0	2	0	0	0	1111	0	0	0	0	0	123123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.99996
DRR001622	91.38202	1	85	66.18615095	23.84073	63.99998	38.19358	158.95923	393.03394	191.9723	274.7740038	1504.15327	478.9996	330	89.00003387	17	675.0003	654.476	168.11984	132.24526	4	674.84542	321.99968	424.00008	244.9883	3.0368	27	572.91307	372.97828	1586.14403	256.00041	144.00002	618.72559	38.99996	492.0002	294.23121	1475.83337	426.36064	15.66044492	709.02847	180.3759	65.96209	1384.687	163.99228	136.0000135	2466.78892	266.487116	592.1897	1345.99984	248.00006	157.95408	1323.99762	490.9997	472.04999	2480.5712	98.07079	230.0051529	480	1327.9999	919.99971	249.0001	6	46.64415	8.18236	381.605	132.00004	128.951472	416.15974	4.8705	1	132	376.807808	2	1226.00017	167.119	2015.69973	26.99997	0	225.7426	224.5709	0	269	206.65074	87.00001748	3.212532	18.06519	416.97684	1206.39745	490.0000578	40.99997	478	242.402479	1346.62211	2395.98358	18.64751	1.00153	98.45279149	328.83968	60.00002
DRR001631	225.76978	1	277.9999	302.9542	84.75129	248.00051	181.3422279	448.2125	1138.68821	617	1077.83497	5974.72676	1762.9988	992	374.00021	63.92842	2497.99711	2366.04623	631.23055	462.66798	16.000003	2600.09996	1172.95374	1718.99963	763.1824	2.20937	50	2188.04793	1145.95272	5948.32017	911.8769044	424.9998946	2589.91094	169.1381337	2176.0008	1294.80552	4583.500444	1598.13237	195.7060335	2151.297675	626.44951	325.98606	4667.87199	726.48577	439.0006	7658.29435	809.0635	1945.287	4073.00279	1157.88308	581.67744	5373.95241	1982.9996	1722.13149	10001.938	374.7805	740.873486	1039.9974	3576.997077	1710.0003	867.00052	15	119.82963	14.54531	839.024	595.99988	603.42757	1539.27902	14.16295	4	465	1142.38621	8.000002	4418.00126	677.816	7724.5821	101.99999	0	1037.379	798.38473	0	979.84399	704.2902	297.38093	25.07496	117.81573	1788.79088	2982.61405	1750.00076	169.9999	1475.99508	1205.82734	4278.64727	7697.91414	44.57501	13.02159	308.6962831	960.27408	244.00031
DRR001634	242.11645	1	279.99988	346.4292	75.33881	212.0001	171.12256	436.86047	1116.70311	604	1113.40725	5973.16727	1816.0022	926	335.00028	74.90543	2261.0015	2283.83002	514.69033	468.27417	14.0000049	2669.92401	1220.96954	1703.99883	782.6866	4.23576	54	2222.69634	1201.13421	6155.25442	927.99981	427.99971	2663.3338	182.3425493	2207.9964	1281.04176	4772.80877	1606.40146	63.431754	2063.02934	543.91948	317.03068	4682.04097	755.72522	421.00025	7517.3423	815.52157	955.658	4113.997541	1105.78852	511.64122	5370.32533	1948.0004	1751.2337	10118.9766	368.15107	780.29877	1056.59672	3661.997928	1687.9991	831.99997	12	140.58288	12.26898	870.524	535.99956	542.2349742	1546.37142	24.6941	4.000004	482	1165.633	4	4414.00778	645.55043	7559.72803	84.99999	0	1124.461	802.5972	2.000003981	841.6943	743.59546	278.71236	9.577693	107.26045	1771.81585	3063.09803	1782.000133	142.00005	1432.9993	1072.908721	4198.02931	7817.72899	48.56051	12.0154539	312.60026	925.83134	250.0002
DRR001637	264.09014	1	340.99999	334.58183	97.4981518	355.999894	173.269377	571.0882	1299.52018	733	1302.38355	7229.3438	2136.0002	1002	526.00013	98.90252	2608.26368	2832.80662	587.704561	583.85326	22.00002	4068.90767	1367.96166	2391.00069	1063.07498	3.03287	60	2762.1191	1768.97722	8150.25422	1095.108717	572.99961	3037.55862	201.17011	3046.0019	1501.52403	6878.2535	1817.28426	205.41606	2433.59983	625.55609	332.30563	5432.374493	796.74347	535.0001303	10342.55381	1034.53893	1557.65	6012.00058	1305.87708	635.8373	6314.34573	2389.0013	2040.84884	13842.323	362.73018	826.77501	1664.96779	6274.9977	2340.99891	1028.00004	16.000002	179.76496	15.01003	1451.65	640.99985	654.502509	1776.09236	26.8175	3	636	1602.56063	11.000005	6520.00158	796.42757	9257.2519	135.00037	0	1543.047	887.944	4.999996	1009.1738	816.63741	305.49196	27.27089	147.4387	1978.46014	5045.22762	2536.00069	179.99995	1768.00335	1290.33909	6109.54533	11508.32871	65.5	14.01461	380.17235	1270.907317	261.99965
DRR001623	38.18331	1	34.00003	28.868608	6.20658	65.00002	22.26557	134.43956	215.02398	88	133.3350771	757.79132	299.9996013	123	97.00003	5	336.00037	279.961	72.55172	88.69588762	6	578.92097	134.99995	237.00012	166.2049001	0	10	406.22076	441.78484	1087.95319	144	140.000004	312.18347	14.17498	344.0005	132.3555905	1390.0954	159.01441	1.241929	339.26402	125.119822	31.256234	761.1308997	78.00001	58.99997	2136.98563	194.755002	133.4336	1187.99804	104.00003	99.85763	908.9998	296.00047	267.59989	1771.0086	29.843	93.83400009	556	1387.00055	962.00027	97.00002	1	27.16746	4.0963	468	42.000012	53.659062	128.97195	0	0	47	254.99975	1	983.9992	80.94445	1079.8871	21.00001	0	159.1833	141.09275	0	142.00009	115.422118	23.07793	1	9.000001	229.000441	1231.00016	337.0004	20	260.99974	172.47779	1543.005309	2183.03416	9.34894	3	48	247.77687	36.99997
DRR001626	38.203	1	48	28.06979	8.36968	48.99991	22.60712	114.7754	201.00306	113	127.2210133	677.94855	266.00005	102	86	3.875255	254.00007	263.70216	66.27097	79.85564	3	581.94844	151.0005	210.9997799	137.296	1.00698	26	410.55877	436.9474116	954.53546	127.99979	130.00002	255.100116	12.93056	321.99972	127.14588	1344.66677	161.99993	23.02154	335.03555	106.22265	40.29451	652.51914	61.99992	51.00002822	1935.00211	177.986738	66.04126	1195.000009	64.579168	102.030163	814.99967	329.9998	265.94921	1749.99976	37.98395	79.00382001	506.34071	1332.99944	960.0004	110	2	31.56008	6.07635	503.972	48.999984	58.99993397	130.85221	1	0	39	272	0	915.9995	69.108643	959.88895	33	0	142.4159	125.2039	0	150.032	115.75392	20	4.419659508	13.000049	213.000375	1227.02624	342.0003	18	266	138.5910911	1464.16972	2122.97104	8	0	33.12135	232.43725	24
