24/03/2017	DRR000897	DRR001173	DRR001174	DRR001175	DRR001622	DRR001631	DRR001634	DRR001637	DRR001623	DRR001626	DRR001632	DRR001635	DRR001638	DRR001642	DRR001624	DRR001627	DRR001630	DRR001633	DRR001636	DRR001639	DRR001640	DRR001641	DRR001796	DRR001797	DRR001798	DRR001799	DRR002274	DRR002594	DRR002596	DRR002597	DRR003595	DRR003596	DRR003597	DRR003598	DRR006374	DRR006375	DRR006376	DRR006377	DRR006378	DRR006379	DRR006380	DRR006381	DRR006382	DRR006383	DRR006385	DRR006386	DRR006387	DRR006388	DRR006389	DRR006390	DRR006391
ENSG00000000003	491.9542	1.0	1779.27651	0.0	91.38202	225.76978	242.11645	264.09014	38.18331	38.203	381.04642	227.12026	266.30711	185.01522	79.151	35.25137	330.60485	217.52994	348.98192	321.75091	233.29152	186.03506	2560.4149	2779.03021	2923.53361	2699.6171	608.0367	755.04614	632.0883	621.1383	1400.07	2063.79972	1425.67154	386.76924	2.26834	5.32206	0.0	0.0	0.0	0.0	6.57692	0.0	2.64439	16.5624	1.9573	1.0	0.0	3.36988	3.56471	0.0	0.0
ENSG00000000005	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ENSG00000000419	431.0	1.0	1585.0037	0.0	85.0	277.9999	279.99988	340.99999	34.00003	48.0	563.99992	363.99967	398.9996	270.99961	74.99997	61.99999	473.0005	349.00052	626.0	535.99963	319.9996	304.99962	3170.0031	3232.00426	3671.0023	3780.004	967.0000613	2383.002789	2308.0001	2947.9974	1838.9955	1767.995	1799.9954	1012.0006	80.00000073	444.9991598	140.0	68.0	133.00009	160.8238	105.0000302	1362.000138	390.000505	569.9999	498.9995	78.00006	540.0010003	477.0005	1648.99969	322.9998	92.0
ENSG00000000457	108.8910682	1.0	355.9468129	1.0	66.18615095	302.9542	346.4292	334.58183	28.868608	28.06979	473.8495	312.9579	308.759	233.032324	68.37825	31.05581945	409.8846	227.8319528	491.9768617	406.2757	288.2969	249.2790014	460.5165	464.97669	438.1871532	735.0389	281.2493	312.8881	277.983	359.7186	537.16943	652.6889	411.25688	204.2423409	39.75302	541.9166	385.0729	165.82072	87.76542	340.50394	104.939573	218.2229	174.395	258.9412602	313.92391	32.48619	335.3499	399.628	1268.96	318.5511	114.4825
ENSG00000000460	172.19862	1.0	406.6224	0.0	23.84073	84.75129	75.33881	97.4981518	6.20658	8.36968	131.78201	92.98529923	85.27018	80.88761	17.023486	12.3645	102.88749	86.73976036	111.974	123.22202	66.49954	73.85161	1637.35558	1520.69278	1998.07164	1738.73643	675.08681	340.6578227	168.53277	178.263466	304.17159	551.66403	475.5140108	305.7655	5.74671	85.9941	57.52092	19.0838	5.13266	52.9032	10.27274666	224.19729	9.59184	45.86847	93.04917362	10.19098653	68.5521	53.0844	201.9916	80.144	24.2479
ENSG00000000938	0.0	1.0	3.0	0.0	63.99998	248.00051	212.0001	355.999894	65.00002	48.99991	345.0009	209.0	208.9999	191.0	89.00001386	68.99991	212.00033	176.0000036	299.9997	245.00042	134.0001	157.99999	0.0	1.999996	1.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	1728.99568	27260.988	15020.999	13366.003	4658.9992	14674.9983	2945.99901	11978.002	1946.99921	817.0	18771.00503	834.0005	17329.9994	12396.99299	39328.9949	20032.0013	6636.9969
ENSG00000000971	814.84781	1.0	7.756709	0.0	38.19358	181.3422279	171.12256	173.269377	22.26557	22.60712	284.60588	182.73564	209.73248	146.3544	31.58483	25.93175	253.2096091	170.9322501	313.3898205	281.47249	169.0293	147.3064202	1578.00615	1920.83622	1457.28935	1235.31911	310.88809	3.819938	1.5304902	3.38598	6911.52347	8085.57467	2803.89	1549.8186	7.7353	455.1252375	31.64604	8.69736	3.0	4.0	9.47276	333.29631	2.0	18.70062	68.71258	4.147941	48.51946	13.86978	41.706	6.0	2.5
ENSG00000001036	2335.96172	1.0	2890.87813	77.0	158.95923	448.2125	436.86047	571.0882	134.43956	114.7754	641.7604	439.71989	434.8399	418.51636	171.85189	157.313825	602.6608	386.81179	697.17942	603.1485	390.38906	380.94549	9952.5196	8323.4928	10488.11632	6158.117	3404.94198	2003.225	1612.23742	1990.81806	6204.1818	4056.5529	4860.99881	2892.38777	99.440961	290.9015	300.38871	389.7111	72.79215	398.322794	434.6658	771.929	81.78594	231.210182	320.5422	34.20361	876.4407	509.50721	1436.257	281.8665	96.23029
ENSG00000001084	568.04689	1.0	947.6033	0.0	393.03394	1138.68821	1116.70311	1299.52018	215.02398	201.00306	1895.343623	1176.1051	1308.57474	1067.00487	315.30655	263.27669	1600.92294	1098.29821	1878.02493	1619.73643	1117.46469	1004.34769	4548.02942	4891.44	6132.69584	7663.1114	734.779121	820.6713	1423.922	3003.846225	1206.13178	1335.43197	1083.68404	660.44536	205.01696	142.970286	58.626137	81.35223	46.748833	37.334068	100.4592306	287.42584	135.66488	769.01309	159.597293	29.03978	183.45015	134.242837	472.09066	124.7001	41.566769
ENSG00000001167	572.586	1.0	1394.013	4.0	191.9723	617.0	604.0	733.0	88.0	113.0	981.0	623.843	648.932	543.939	194.0004	154.9999	709.692	521.9269	932.0	761.6559	512.6321	470.9013	2763.98	3480.957	3153.005	3874.958	706.8899	1116.5288	1159.64	1473.669	1655.60319	2067.78834	1439.1967	1231.3695	65.0	275.3856	163.99998	252.9997	72.00002764	91.0	65.8176	421.0	66.424	389.7838	370.401	38.3049	323.66833	454.56108	1523.9514	567.99972	176.6604
