2016-10-31	stDev
ENSG00000000003	3.548836641723508
ENSG00000000005	1.4737509309104153
ENSG00000000419	1.6710564002357648
ENSG00000000457	1.2300708845237385
ENSG00000000460	1.467776813653034
ENSG00000000938	5.9186951502092136
ENSG00000000971	2.579839880457244
ENSG00000001036	0.9842382848381716
ENSG00000001084	1.7146348407583332
ENSG00000001167	0.7185971828167629
ENSG00000001460	1.910155001062237
ENSG00000001461	2.1150774143333706
ENSG00000001497	1.7489300168335802
ENSG00000001561	3.0974375718468465
ENSG00000001617	4.229580922728051
ENSG00000001626	2.472469401298439
ENSG00000001629	1.9457684741753196
ENSG00000001630	1.9920831510801869
ENSG00000001631	1.5495391905705866
ENSG00000002016	1.1000722944104366
ENSG00000002079	2.4303987567253693
ENSG00000002330	1.9734196079234267
ENSG00000002549	2.1046269583570005
ENSG00000002586	2.0929504413581546
ENSG00000002587	2.4791145912763577
ENSG00000002726	4.131282787251356
ENSG00000002745	2.189344941832551
ENSG00000002746	4.41881769886222
ENSG00000002822	1.969968626081687
ENSG00000002834	2.1846723153589767
ENSG00000002919	1.8608404823443545
ENSG00000002933	4.605230850703223
ENSG00000003056	1.9275164330821086
ENSG00000003096	3.495977025325753
ENSG00000003137	4.707164138909435
ENSG00000003147	2.925556382715239
ENSG00000003249	3.559306803911933
ENSG00000003393	2.0073531826876914
ENSG00000003400	2.807359811282199
ENSG00000003402	2.646328480911141
ENSG00000003436	2.07748233845586
ENSG00000003509	1.3213422737456133
ENSG00000003756	1.9155193868932199
ENSG00000003987	2.4607667276273295
ENSG00000003989	4.4045927967454475
ENSG00000004059	2.2036078754253126
ENSG00000004139	1.9028133912604022
ENSG00000004142	1.7498702621320528
ENSG00000004399	2.1773214263207525
ENSG00000004455	2.0340699821285297
ENSG00000004468	3.801184621901696
ENSG00000004478	2.141868321376892
ENSG00000004487	1.7511187285000827
ENSG00000004534	1.779923593245017
ENSG00000004660	3.039167282811784
ENSG00000004700	1.784013843469948
ENSG00000004766	1.4438781615119274
ENSG00000004776	4.387238658062021
ENSG00000004777	2.987768692614151
ENSG00000004779	1.78339749798314
ENSG00000004799	3.6212910771606674
ENSG00000004809	2.235887832277928
ENSG00000004838	1.8676499170985448
ENSG00000004846	1.7654406936708282
ENSG00000004848	4.7608840513262765
ENSG00000004864	1.8107142834750114
ENSG00000004866	1.4732875604608522
ENSG00000004897	1.724250289865193
ENSG00000004939	5.572609158220052
ENSG00000004948	1.6432974115848702
ENSG00000004961	1.4761047510004002
ENSG00000004975	1.6669074492288467
ENSG00000005001	1.7841599003427524
ENSG00000005007	2.0104110894227913
ENSG00000005020	2.1515186585570363
ENSG00000005022	2.0823997137189996
ENSG00000005059	2.137047104839029
ENSG00000005073	2.721115015784267
ENSG00000005075	1.9310659434833992
ENSG00000005100	1.6678414261923664
ENSG00000005102	2.2233608770993234
ENSG00000005108	4.473806982152496
ENSG00000005156	1.4735886783655456
ENSG00000005175	1.4070238909980255
ENSG00000005187	1.9014056283188554
ENSG00000005189	1.3910864477127693
ENSG00000005194	1.645040525133846
ENSG00000005206	2.12609255278277
ENSG00000005238	1.9700702615025465
ENSG00000005243	1.75407436205508
ENSG00000005249	2.5147927556746237
ENSG00000005302	1.810740878019819
ENSG00000005339	1.9945038077030395
ENSG00000005379	4.036452278712377
ENSG00000005381	3.981029001205051
ENSG00000005421	2.117866370346533
ENSG00000005436	1.4261395208754857
ENSG00000005448	1.6714989837429637
ENSG00000005469	0.8454318467154287
