31/10/2016	Average
ENSG00000000003	-1.3235599979845004E-15
ENSG00000000005	-1.785064470965938E-16
ENSG00000000419	5.224578939412502E-16
ENSG00000000457	-3.483052626275001E-17
ENSG00000000460	-1.7415263131375004E-15
ENSG00000000938	2.1594926282905004E-15
ENSG00000000971	-2.3684757858670005E-15
ENSG00000001036	1.7415263131375004E-16
ENSG00000001084	-8.707631565687502E-16
ENSG00000001167	-4.284154730318251E-15
ENSG00000001460	1.4802973661668755E-15
ENSG00000001461	4.353815782843751E-16
ENSG00000001497	-1.1668226298021253E-15
ENSG00000001561	1.2277760507619378E-15
ENSG00000001617	4.005510520216251E-16
ENSG00000001626	5.485807886383127E-16
ENSG00000001629	6.617799989922502E-16
ENSG00000001630	2.3510605227356255E-15
ENSG00000001631	-3.674620520720126E-15
ENSG00000002016	-3.1173321005161258E-15
ENSG00000002079	3.483052626275001E-17
ENSG00000002330	1.6370347343492503E-15
ENSG00000002549	-1.6022042080865004E-15
ENSG00000002586	-1.0449157878825003E-16
ENSG00000002587	-8.707631565687502E-16
ENSG00000002726	3.744281573245626E-16
ENSG00000002745	5.050426308098751E-16
ENSG00000002746	2.4033063121297508E-15
ENSG00000002822	-7.662715777805002E-16
ENSG00000002834	-2.1943231545532507E-15
ENSG00000002919	-2.5774589434435006E-15
ENSG00000002933	8.185173671746252E-16
ENSG00000003056	2.4729673646552505E-15
ENSG00000003096	9.752547353570003E-16
ENSG00000003137	-4.179663151530001E-16
ENSG00000003147	-2.3510605227356255E-15
ENSG00000003249	1.6022042080865004E-15
ENSG00000003393	5.747036833353752E-16
ENSG00000003400	1.9156789444512506E-16
ENSG00000003402	-1.1145768404080003E-15
ENSG00000003436	3.866188415165251E-15
ENSG00000003509	-3.657205257588751E-16
ENSG00000003756	9.055936828315002E-16
ENSG00000003987	5.8341131490106265E-16
ENSG00000003989	-1.9853399969767506E-15
ENSG00000004059	1.7763568394002505E-15
ENSG00000004139	-7.314410515177502E-16
ENSG00000004142	-2.2813994702101258E-15
ENSG00000004399	-5.050426308098751E-16
ENSG00000004455	-2.8212726272827506E-15
ENSG00000004468	2.507797890918001E-15
ENSG00000004478	2.960594732333751E-15
ENSG00000004487	1.8460178919257506E-15
ENSG00000004534	-2.507797890918001E-15
ENSG00000004660	-1.4628821030355003E-15
ENSG00000004700	8.359326303060002E-16
ENSG00000004766	-1.9156789444512506E-16
ENSG00000004776	6.791952621236251E-16
ENSG00000004777	3.483052626275001E-17
ENSG00000004779	-7.314410515177502E-16
ENSG00000004799	-8.185173671746252E-16
ENSG00000004809	1.2190684191962504E-16
ENSG00000004838	-4.876273676785002E-16
ENSG00000004846	8.707631565687502E-17
ENSG00000004848	3.134747363647501E-16
ENSG00000004864	3.552713678800501E-15
ENSG00000004866	1.3235599979845004E-15
ENSG00000004897	1.6892805237433754E-15
ENSG00000004939	-1.3932210505100003E-16
ENSG00000004948	1.0449157878825003E-16
ENSG00000004961	-1.0275005247511254E-15
ENSG00000004975	1.1494073666707504E-15
ENSG00000005001	-2.1769078914218755E-16
ENSG00000005007	2.1943231545532507E-15
ENSG00000005020	-8.359326303060002E-16
ENSG00000005022	5.2942399919380015E-15
ENSG00000005059	-1.6718652606120004E-15
ENSG00000005073	-1.3932210505100003E-16
ENSG00000005075	-2.5426284171807507E-15
ENSG00000005100	6.791952621236251E-16
ENSG00000005102	6.617799989922502E-16
ENSG00000005108	-2.438136838392501E-16
ENSG00000005156	3.6572052575887506E-15
ENSG00000005175	-8.359326303060002E-16
ENSG00000005187	6.966105252550002E-17
ENSG00000005189	-6.966105252550002E-16
ENSG00000005194	-2.0201705232395005E-15
ENSG00000005206	-1.3583905242472503E-15
ENSG00000005238	8.011021040432502E-16
ENSG00000005243	-1.8286026287943754E-16
ENSG00000005249	-8.881784197001252E-16
ENSG00000005302	2.2988147333415007E-15
ENSG00000005339	-3.901018941428001E-15
ENSG00000005379	-4.179663151530001E-16
ENSG00000005381	8.533478934373752E-16
ENSG00000005421	1.0449157878825003E-16
ENSG00000005436	-9.230089459628753E-16
ENSG00000005448	1.9156789444512506E-16
ENSG00000005469	-1.2364836823276253E-15
