2016-04-05	ENSG00000000457	ENSG00000000460	ENSG00000000938	ENSG00000000971	ENSG00000001460	ENSG00000001461	ENSG00000004455	ENSG00000004487	ENSG00000003137	ENSG00000003393	ENSG00000003400	ENSG00000003402	ENSG00000003436	ENSG00000003509	ENSG00000005436	ENSG00000005448	ENSG00000001617	ENSG00000003756	ENSG00000004399	ENSG00000004534	ENSG00000004838	ENSG00000002549	ENSG00000002587	ENSG00000004468	ENSG00000005059	ENSG00000001036	ENSG00000001084	ENSG00000001167	ENSG00000001561	ENSG00000004809	ENSG00000001626	ENSG00000001629	ENSG00000001630	ENSG00000001631	ENSG00000002079	ENSG00000002726	ENSG00000002745	ENSG00000002746	ENSG00000002822	ENSG00000002933	ENSG00000003147	ENSG00000004059	ENSG00000004766	ENSG00000004799	ENSG00000004846	ENSG00000004864	ENSG00000004866	ENSG00000004948	ENSG00000005020	ENSG00000005073	ENSG00000005075	ENSG00000005108	ENSG00000005249	ENSG00000005421	ENSG00000005469	ENSG00000003987	ENSG00000003989	ENSG00000005238	ENSG00000002330	ENSG00000002016	ENSG00000003056	ENSG00000004478	ENSG00000004700	ENSG00000005175	ENSG00000003249	ENSG00000004779	ENSG00000005001	ENSG00000005187	ENSG00000005189	ENSG00000005194	ENSG00000005339	ENSG00000002834	ENSG00000002919	ENSG00000004139	ENSG00000004142	ENSG00000004660	ENSG00000004897	ENSG00000004939	ENSG00000004975	ENSG00000005100	ENSG00000005102	ENSG00000005156	ENSG00000005243	ENSG00000005379	ENSG00000005381	ENSG00000004776	ENSG00000004777	ENSG00000005007	ENSG00000005206	ENSG00000000419	ENSG00000000003	ENSG00000000005	ENSG00000001497	ENSG00000002586	ENSG00000003096	ENSG00000004848	ENSG00000004961	ENSG00000005022	ENSG00000005302
DRR000897	108.8910682	172.19862	0.0	814.84781	79.62009	864.40418	5922.7401	2186.0028	18.99995	368.40419	62.060789	477.85302	2012.391209	148.95975	135.45454	1092.33846	4903.5413	1510.65008	2223.00275	498.1281107	21.65379	1132.240985	11.33009	1.01367	206.9999	2335.96172	568.04689	572.586	1.0	0.0	1.97906	814.00011	4184.49686	255.393731	2.000005	60.0086	6.0	87.59404	1082.99933	10.000003	91.42924069	2806.52357	270.1994727	1481.99582	0.0	1230.9994	494.5554006	0.0	199.99525	25.74208	1094.609	4.0	33.00004	0.0	49.00002	8.192249	1546.00079	285.9999856	1518.3631	97.0001	2298.89618	4266.63016	487.74961	268.4624	212.82164	1577.00442	0.0	3.44015	134.45096	1765.57985	2021.03897	7259.699613	279.9996	106.5904617	1580.212	931.6064	991.39134	0.0	1411.00099	1374.244703	46.0	562.20454	396.9999164	36.9999811	0.0	11.04376	41.99995	2700.0032	788.01564	431.0	491.9542	1.0	2042.9986	2896.0012	857.26388	0.0	628.0003	10274.42	281.3244494
DRR001173	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DRR001174	355.9468129	406.6224	3.0	7.756709	648.99473	2122.28125	7205.00615	6975.999	273.00056	1962.04904	413.31707	1397.642099	3245.272129	661.7558801	531.88	3035.14985	2059.71716	3031.3846	1036.999441	1658.07959	20.49269	1823.6766	81.9029	40.3755	929.9306	2890.87813	947.6033	1394.013	769.0	8.0	5.88963	3650.99582	6363.42384	794.04971	387.9998	2.05923	2.0	5.445293	486.99946	0.0	70.22128	2095.8428	760.5851618	2.0	5.6484	1372.000163	508.3966299	1.0	2854.58195	1.0	309.1164	11.0	643.0	0.0	279.99986	58.4962	626.000503	709.00073	655.1049	309.00019	5436.24305	2880.13609	3839.79879	1151.53678	452.72834	1450.00298	1.0	24.497147	133.9999971	1788.73019	4700.04595	17217.79744	694.25498	489.4344	3565.33	182.13929	6250.4487	0.0	1420.214836	1253.6691	2.0	833.666051	226.0000884	0.0	0.0	11.0489	44.999973	2922.0042	239.76875	1585.0037	1779.27651	1.0	1760.9993	4445.00395	426.6163186	6.0	1135.001	19910.73	1106.04007
DRR001175	318.6771	115.45896	1.0	1.0	488.5405017	1878.29019	8878.03319	2654.003	64.0	1377.00656	89.89862	573.6026961	2066.777542	566.22953	466.61062	1663.83876	640.00004	2148.59946	806.0006788	865.1452513	4.11972	1638.41024	30.814604	2.022681	257.00004	3396.83952	2955.42088	898.928	477.0	4.0	2.0	1583.76748	8520.22578	532.4876336	12.999999	0.0	1.0	9.02633	539.99975	0.0	69.1477624	1410.3809	548.79884	0.0	6.4199	722.00014	735.5473816	1.999996	624.31603	0.0	524.577	5.0	92.00002	0.0	82.99996	34.4202	871.9996125	481.0005	711.82402	335.88551	8364.0383	10095.9228	1584.83957	752.0713	138.5716	1579.9981	0.0	5.83953	53.99998045	1583.000389	4089.30037	7295.05189	745.5176758	222.3233	3509.73	107.03801	3581.664417	1.0	1959.21618	1514.1712	0.0	977.22583	179.0000634	1.00372	0.0	1.57842	18.000005	2842.00228	309.24369	1395.0005	1019.781	1.0	1629.0004	2811.9998	30.10046169	2.0	1128.999	25246.25	1020.16475
DRR001622	66.18615095	23.84073	63.99998	38.19358	274.7740038	1504.15327	248.00006	490.9997	492.0002	426.36064	15.66044492	709.02847	180.3759	65.96209	98.45279149	328.83968	89.00003387	1384.687	1345.99984	472.04999	46.64415	321.99968	244.9883	157.95408	26.99997	158.95923	393.03394	191.9723	330.0	6.0	17.0	675.0003	654.476	168.11984	4.0	3.0368	27.0	572.91307	372.97828	144.00002	294.23121	2466.78892	230.0051529	249.0001	8.18236	132.00004	128.951472	1.0	167.119	0.0	225.7426	269.0	478.0	1.00153	60.00002	163.99228	136.0000135	490.0000578	674.84542	132.24526	618.72559	1323.99762	98.07079	87.00001748	1475.83337	919.99971	2.0	3.212532	18.06519	416.97684	1346.62211	1586.14403	256.00041	266.487116	592.1897	2480.5712	416.15974	4.8705	376.807808	224.5709	0.0	206.65074	40.99997	2395.98358	18.64751	480.0	1327.9999	1226.00017	1206.39745	85.0	91.38202	1.0	478.9996	424.00008	38.99996	381.605	132.0	2015.69973	242.402479
DRR001631	302.9542	84.75129	248.00051	181.3422279	1077.83497	5974.72676	1157.88308	1982.9996	2176.0008	1598.13237	195.7060335	2151.297675	626.44951	325.98606	308.6962831	960.27408	374.00021	4667.87199	4073.00279	1722.13149	119.82963	1172.95374	763.1824	581.67744	101.99999	448.2125	1138.68821	617.0	992.0	15.0	63.92842	2497.99711	2366.04623	631.23055	16.000003	2.20937	50.0	2188.04793	1145.95272	424.9998946	1294.80552	7658.29435	740.873486	867.00052	14.54531	595.99988	603.42757	4.0	677.816	0.0	1037.379	979.84399	1475.99508	13.02159	244.00031	726.48577	439.0006	1750.00076	2600.09996	462.66798	2589.91094	5373.95241	374.7805	297.38093	4583.500444	1710.0003	8.000002	25.07496	117.81573	1788.79088	4278.64727	5948.32017	911.8769044	809.0635	1945.287	10001.938	1539.27902	14.16295	1142.38621	798.38473	0.0	704.2902	169.9999	7697.91414	44.57501	1039.9974	3576.997077	4418.00126	2982.61405	277.9999	225.76978	1.0	1762.9988	1718.99963	169.1381337	839.024	465.0	7724.5821	1205.82734
DRR001634	346.4292	75.33881	212.0001	171.12256	1113.40725	5973.16727	1105.78852	1948.0004	2207.9964	1606.40146	63.431754	2063.02934	543.91948	317.03068	312.60026	925.83134	335.00028	4682.04097	4113.997541	1751.2337	140.58288	1220.96954	782.6866	511.64122	84.99999	436.86047	1116.70311	604.0	926.0	12.0	74.90543	2261.0015	2283.83002	514.69033	14.0000049	4.23576	54.0	2222.69634	1201.13421	427.99971	1281.04176	7517.3423	780.29877	831.99997	12.26898	535.99956	542.2349742	4.000004	645.55043	0.0	1124.461	841.6943	1432.9993	12.0154539	250.0002	755.72522	421.00025	1782.000133	2669.92401	468.27417	2663.3338	5370.32533	368.15107	278.71236	4772.80877	1687.9991	4.0	9.577693	107.26045	1771.81585	4198.02931	6155.25442	927.99981	815.52157	955.658	10118.9766	1546.37142	24.6941	1165.633	802.5972	2.000003981	743.59546	142.00005	7817.72899	48.56051	1056.59672	3661.997928	4414.00778	3063.09803	279.99988	242.11645	1.0	1816.0022	1703.99883	182.3425493	870.524	482.0	7559.72803	1072.908721
DRR001637	334.58183	97.4981518	355.999894	173.269377	1302.38355	7229.3438	1305.87708	2389.0013	3046.0019	1817.28426	205.41606	2433.59983	625.55609	332.30563	380.17235	1270.907317	526.00013	5432.374493	6012.00058	2040.84884	179.76496	1367.96166	1063.07498	635.8373	135.00037	571.0882	1299.52018	733.0	1002.0	16.000002	98.90252	2608.26368	2832.80662	587.704561	22.00002	3.03287	60.0	2762.1191	1768.97722	572.99961	1501.52403	10342.55381	826.77501	1028.00004	15.01003	640.99985	654.502509	3.0	796.42757	0.0	1543.047	1009.1738	1768.00335	14.01461	261.99965	796.74347	535.0001303	2536.00069	4068.90767	583.85326	3037.55862	6314.34573	362.73018	305.49196	6878.2535	2340.99891	11.000005	27.27089	147.4387	1978.46014	6109.54533	8150.25422	1095.108717	1034.53893	1557.65	13842.323	1776.09236	26.8175	1602.56063	887.944	4.999996	816.63741	179.99995	11508.32871	65.5	1664.96779	6274.9977	6520.00158	5045.22762	340.99999	264.09014	1.0	2136.0002	2391.00069	201.17011	1451.65	636.0	9257.2519	1290.33909
DRR001623	28.868608	6.20658	65.00002	22.26557	133.3350771	757.79132	104.00003	296.00047	344.0005	159.01441	1.241929	339.26402	125.119822	31.256234	48.0	247.77687	97.00003	761.1308997	1187.99804	267.59989	27.16746	134.99995	166.2049001	99.85763	21.00001	134.43956	215.02398	88.0	123.0	1.0	5.0	336.00037	279.961	72.55172	6.0	0.0	10.0	406.22076	441.78484	140.000004	132.3555905	2136.98563	93.83400009	97.00002	4.0963	42.000012	53.659062	0.0	80.94445	0.0	159.1833	142.00009	260.99974	3.0	36.99997	78.00001	58.99997	337.0004	578.92097	88.69588762	312.18347	908.9998	29.843	23.07793	1390.0954	962.00027	1.0	1.0	9.000001	229.000441	1543.005309	1087.95319	144.0	194.755002	133.4336	1771.0086	128.97195	0.0	254.99975	141.09275	0.0	115.422118	20.0	2183.03416	9.34894	556.0	1387.00055	983.9992	1231.00016	34.00003	38.18331	1.0	299.9996013	237.00012	14.17498	468.0	47.0	1079.8871	172.47779
DRR001626	28.06979	8.36968	48.99991	22.60712	127.2210133	677.94855	64.579168	329.9998	321.99972	161.99993	23.02154	335.03555	106.22265	40.29451	33.12135	232.43725	86.0	652.51914	1195.000009	265.94921	31.56008	151.0005	137.296	102.030163	33.0	114.7754	201.00306	113.0	102.0	2.0	3.875255	254.00007	263.70216	66.27097	3.0	1.00698	26.0	410.55877	436.9474116	130.00002	127.14588	1935.00211	79.00382001	110.0	6.07635	48.999984	58.99993397	0.0	69.108643	0.0	142.4159	150.032	266.0	0.0	24.0	61.99992	51.00002822	342.0003	581.94844	79.85564	255.100116	814.99967	37.98395	20.0	1344.66677	960.0004	0.0	4.419659508	13.000049	213.000375	1464.16972	954.53546	127.99979	177.986738	66.04126	1749.99976	130.85221	1.0	272.0	125.2039	0.0	115.75392	18.0	2122.97104	8.0	506.34071	1332.99944	915.9995	1227.02624	48.0	38.203	1.0	266.00005	210.9997799	12.93056	503.972	39.0	959.88895	138.5910911
